Questions,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60243,0.688,0.035,0.167,0.014,0.021,0.045,0.029,0.203,0.109,0.094,0.312,0.65,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60277,0.761,0.036,0.122,0.011,0.013,0.026,0.031,0.159,0.081,0.078,0.239,0.662,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60310,0.819,0.057,0.068,0.008,0.006,0.01,0.033,0.125,0.057,0.068,0.181,0.687,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60344,0.821,0.096,0.041,0.006,0.003,0.004,0.03,0.137,0.043,0.094,0.179,0.762,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60377,0.815,0.116,0.034,0.005,0.002,0.002,0.026,0.15,0.035,0.115,0.185,0.81,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60411,0.83,0.106,0.031,0.004,0.003,0.002,0.023,0.137,0.033,0.105,0.17,0.808,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60445,0.837,0.096,0.035,0.005,0.003,0.003,0.022,0.131,0.033,0.098,0.163,0.8,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60478,0.811,0.083,0.064,0.01,0.004,0.007,0.022,0.147,0.042,0.105,0.189,0.776,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60512,0.755,0.064,0.117,0.019,0.008,0.014,0.023,0.18,0.065,0.115,0.245,0.735,Disfrute
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60546,0.695,0.07,0.153,0.026,0.01,0.021,0.026,0.222,0.082,0.14,0.305,0.729,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60579,0.679,0.104,0.14,0.022,0.009,0.02,0.026,0.244,0.077,0.167,0.321,0.761,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60613,0.727,0.118,0.097,0.014,0.007,0.014,0.024,0.214,0.059,0.155,0.273,0.784,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60647,0.799,0.089,0.064,0.009,0.005,0.009,0.025,0.153,0.048,0.105,0.201,0.76,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60680,0.846,0.062,0.05,0.008,0.005,0.007,0.024,0.111,0.043,0.068,0.154,0.72,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60714,0.86,0.059,0.04,0.007,0.004,0.006,0.023,0.1,0.04,0.06,0.14,0.714,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60747,0.867,0.055,0.037,0.007,0.005,0.006,0.023,0.092,0.041,0.051,0.133,0.692,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60781,0.872,0.043,0.041,0.008,0.005,0.005,0.026,0.084,0.044,0.04,0.128,0.657,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60815,0.865,0.033,0.055,0.01,0.004,0.005,0.026,0.089,0.046,0.043,0.135,0.66,Extraneza
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60848,0.846,0.026,0.078,0.015,0.005,0.006,0.025,0.104,0.05,0.054,0.154,0.674,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60882,0.813,0.021,0.106,0.022,0.005,0.008,0.024,0.127,0.06,0.067,0.187,0.679,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60915,0.774,0.031,0.129,0.028,0.005,0.01,0.023,0.16,0.066,0.094,0.226,0.708,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60949,0.753,0.059,0.129,0.024,0.005,0.011,0.019,0.188,0.06,0.128,0.247,0.759,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.928,00:01:58.60983,0.764,0.075,0.103,0.016,0.005,0.014,0.023,0.178,0.058,0.12,0.236,0.754,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60016,0.793,0.056,0.073,0.01,0.008,0.022,0.039,0.129,0.079,0.05,0.207,0.621,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60050,0.816,0.031,0.05,0.007,0.01,0.029,0.058,0.08,0.104,-0.023,0.184,0.437,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60084,0.817,0.026,0.036,0.005,0.014,0.032,0.071,0.062,0.122,-0.06,0.183,0.337,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60117,0.793,0.032,0.032,0.005,0.018,0.036,0.084,0.064,0.143,-0.079,0.207,0.309,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60151,0.759,0.043,0.034,0.006,0.021,0.043,0.095,0.076,0.165,-0.089,0.241,0.316,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60184,0.706,0.069,0.043,0.009,0.027,0.055,0.091,0.112,0.182,-0.069,0.294,0.382,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60218,0.652,0.102,0.055,0.011,0.034,0.068,0.078,0.157,0.191,-0.034,0.348,0.451,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60252,0.665,0.103,0.052,0.01,0.032,0.062,0.076,0.154,0.181,-0.027,0.335,0.46,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60285,0.743,0.076,0.033,0.007,0.021,0.037,0.084,0.109,0.148,-0.04,0.257,0.423,Alegria
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60319,0.762,0.114,0.016,0.003,0.01,0.017,0.078,0.13,0.108,0.022,0.238,0.547,Regocijo
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60353,0.653,0.263,0.009,0.002,0.006,0.008,0.059,0.273,0.075,0.198,0.347,0.785,Disfrute
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60386,0.535,0.4,0.008,0.001,0.006,0.005,0.045,0.408,0.057,0.351,0.465,0.878,Disfrute
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60420,0.54,0.397,0.008,0.001,0.005,0.004,0.045,0.404,0.055,0.349,0.46,0.88,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60453,0.631,0.302,0.007,0.001,0.004,0.004,0.051,0.309,0.06,0.25,0.369,0.839,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60487,0.721,0.212,0.006,0.001,0.004,0.004,0.053,0.218,0.061,0.156,0.279,0.78,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60521,0.788,0.145,0.005,0.001,0.004,0.006,0.052,0.149,0.062,0.087,0.212,0.706,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60554,0.817,0.107,0.005,0.001,0.006,0.01,0.054,0.112,0.071,0.041,0.183,0.611,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60588,0.789,0.108,0.008,0.001,0.013,0.021,0.059,0.116,0.094,0.022,0.211,0.552,Regocijo
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60621,0.726,0.145,0.012,0.001,0.021,0.03,0.064,0.157,0.117,0.04,0.274,0.573,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60655,0.671,0.201,0.013,0.001,0.022,0.029,0.063,0.214,0.115,0.099,0.329,0.651,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60689,0.667,0.226,0.013,0.001,0.016,0.022,0.055,0.239,0.094,0.145,0.333,0.717,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60722,0.727,0.179,0.013,0.001,0.013,0.018,0.049,0.192,0.081,0.111,0.273,0.704,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60756,0.803,0.107,0.012,0.001,0.011,0.017,0.05,0.118,0.079,0.039,0.197,0.6,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60790,0.843,0.06,0.009,0.001,0.009,0.014,0.064,0.069,0.088,-0.019,0.157,0.438,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60823,0.845,0.038,0.006,0.001,0.007,0.012,0.091,0.044,0.111,-0.067,0.155,0.285,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60857,0.835,0.028,0.005,0.001,0.006,0.013,0.111,0.033,0.131,-0.098,0.165,0.203,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60890,0.835,0.025,0.006,0.001,0.007,0.016,0.11,0.031,0.134,-0.103,0.165,0.188,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60924,0.846,0.029,0.006,0.001,0.007,0.016,0.095,0.035,0.119,-0.084,0.154,0.228,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60958,0.859,0.038,0.005,0.001,0.005,0.012,0.081,0.043,0.098,-0.056,0.141,0.303,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,1.944,00:01:59.60991,0.855,0.048,0.006,0.001,0.005,0.01,0.076,0.054,0.091,-0.038,0.145,0.369,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120025,0.829,0.061,0.009,0.001,0.007,0.015,0.078,0.07,0.102,-0.032,0.171,0.407,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120059,0.801,0.074,0.011,0.001,0.009,0.019,0.084,0.086,0.113,-0.028,0.199,0.43,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120092,0.792,0.085,0.009,0.001,0.007,0.015,0.09,0.094,0.114,-0.02,0.208,0.452,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120126,0.794,0.086,0.006,0.001,0.006,0.01,0.097,0.092,0.115,-0.023,0.206,0.445,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120159,0.786,0.07,0.008,0.001,0.009,0.012,0.113,0.078,0.136,-0.057,0.214,0.366,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120193,0.782,0.048,0.01,0.001,0.012,0.017,0.131,0.058,0.16,-0.102,0.218,0.266,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120227,0.802,0.032,0.01,0.001,0.009,0.017,0.13,0.041,0.157,-0.115,0.198,0.209,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120260,0.832,0.026,0.008,0.001,0.005,0.014,0.114,0.034,0.134,-0.101,0.168,0.2,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120294,0.845,0.023,0.006,0.001,0.004,0.011,0.11,0.029,0.126,-0.097,0.155,0.189,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120327,0.842,0.018,0.005,0.001,0.004,0.011,0.119,0.023,0.135,-0.112,0.158,0.146,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120361,0.833,0.012,0.005,0.001,0.004,0.012,0.133,0.017,0.15,-0.133,0.167,0.101,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120395,0.818,0.014,0.005,0.002,0.005,0.012,0.144,0.019,0.162,-0.143,0.182,0.107,Intranquilidad
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120428,0.794,0.038,0.007,0.002,0.005,0.014,0.139,0.045,0.16,-0.115,0.206,0.22,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120462,0.753,0.078,0.015,0.003,0.009,0.025,0.118,0.093,0.154,-0.062,0.247,0.375,Agrado
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120496,0.701,0.1,0.03,0.005,0.016,0.049,0.099,0.13,0.168,-0.038,0.299,0.437,Disfrute
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120529,0.658,0.108,0.047,0.007,0.023,0.07,0.088,0.155,0.187,-0.032,0.342,0.453,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120563,0.638,0.128,0.055,0.007,0.025,0.071,0.076,0.182,0.179,0.003,0.362,0.504,
"Q11a: Do you think you can put yourself in their shoes? If you feel comfortable, try to imagine how they see the world - what their priorities are, and how they might look at the people and relationships around them. Imagine - inside their head, those values are the ones that make the most, irrefutable sense. Do you feel you could put yourself in their frame of mind? Are you comfortable trying? ",1.54,2.37,2,00:02:00.120596,0.682,0.124,0.05,0.007,0.02,0.051,0.066,0.174,0.144,0.03,0.318,0.547,
