Questions,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"10. Men and women each have different roles to play in society.",4.26,4.29,4.288,00:04:18.240911,0.914,0.003,0.004,0,0.017,0.01,0.052,0.007,0.079,-0.072,0.086,0.084,
"10. Men and women each have different roles to play in society.",4.26,4.29,4.288,00:04:18.240945,0.91,0.002,0.006,0,0.019,0.01,0.051,0.008,0.082,-0.074,0.09,0.09,
"10. Men and women each have different roles to play in society.",4.26,4.29,4.288,00:04:18.240979,0.905,0.002,0.009,0.001,0.019,0.01,0.053,0.011,0.083,-0.072,0.095,0.117,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240030,0.94,0.002,0.016,0.001,0.009,0.005,0.027,0.018,0.042,-0.024,0.06,0.301,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240063,0.942,0.002,0.015,0.001,0.009,0.004,0.027,0.017,0.041,-0.025,0.058,0.289,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240097,0.94,0.002,0.017,0.001,0.009,0.004,0.029,0.018,0.042,-0.024,0.06,0.305,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240130,0.927,0.002,0.022,0.001,0.01,0.004,0.034,0.024,0.049,-0.025,0.073,0.329,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240164,0.917,0.002,0.026,0.001,0.012,0.005,0.037,0.028,0.055,-0.027,0.083,0.337,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240198,0.917,0.003,0.025,0.002,0.013,0.006,0.034,0.028,0.055,-0.027,0.083,0.339,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240231,0.92,0.004,0.022,0.002,0.015,0.007,0.031,0.026,0.054,-0.027,0.08,0.329,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240265,0.919,0.004,0.022,0.002,0.014,0.007,0.032,0.026,0.055,-0.03,0.081,0.316,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240299,0.912,0.004,0.026,0.002,0.014,0.007,0.035,0.029,0.059,-0.029,0.088,0.334,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240332,0.903,0.005,0.029,0.003,0.013,0.008,0.039,0.034,0.063,-0.029,0.097,0.351,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240366,0.903,0.006,0.023,0.002,0.01,0.007,0.047,0.03,0.067,-0.038,0.097,0.306,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240399,0.904,0.008,0.011,0.001,0.008,0.005,0.062,0.019,0.077,-0.058,0.096,0.199,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240433,0.894,0.008,0.005,0.001,0.008,0.004,0.081,0.013,0.093,-0.08,0.106,0.119,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240467,0.887,0.007,0.004,0,0.009,0.004,0.089,0.011,0.102,-0.091,0.113,0.1,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240500,0.894,0.008,0.004,0,0.008,0.004,0.082,0.012,0.094,-0.082,0.106,0.113,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240534,0.907,0.009,0.003,0,0.007,0.003,0.07,0.012,0.081,-0.069,0.093,0.13,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240568,0.916,0.006,0.003,0,0.007,0.002,0.065,0.01,0.074,-0.064,0.084,0.117,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240601,0.925,0.004,0.003,0,0.007,0.002,0.059,0.007,0.068,-0.061,0.075,0.094,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240635,0.935,0.006,0.003,0,0.007,0.002,0.048,0.008,0.056,-0.048,0.065,0.127,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240668,0.937,0.011,0.003,0,0.006,0.002,0.041,0.013,0.049,-0.036,0.063,0.215,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240702,0.924,0.014,0.003,0,0.006,0.002,0.051,0.016,0.059,-0.043,0.076,0.216,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240736,0.898,0.01,0.003,0,0.008,0.002,0.079,0.013,0.09,-0.077,0.102,0.123,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240769,0.873,0.005,0.003,0,0.011,0.003,0.106,0.007,0.12,-0.112,0.127,0.059,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240803,0.869,0.003,0.003,0,0.014,0.003,0.108,0.006,0.125,-0.119,0.131,0.048,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240836,0.881,0.007,0.003,0,0.014,0.003,0.092,0.01,0.109,-0.099,0.119,0.083,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240870,0.891,0.013,0.004,0,0.014,0.003,0.074,0.018,0.091,-0.073,0.109,0.162,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240904,0.898,0.017,0.006,0.001,0.015,0.003,0.061,0.023,0.079,-0.056,0.102,0.226,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240937,0.907,0.015,0.008,0.001,0.016,0.003,0.051,0.023,0.07,-0.048,0.093,0.243,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.336,00:04:21.240971,0.92,0.013,0.009,0.001,0.014,0.003,0.039,0.022,0.058,-0.036,0.08,0.276,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240005,0.932,0.014,0.009,0.001,0.011,0.003,0.031,0.023,0.046,-0.023,0.068,0.333,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240038,0.943,0.011,0.008,0.001,0.008,0.002,0.026,0.02,0.038,-0.018,0.057,0.344,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240072,0.955,0.007,0.008,0.001,0.006,0.002,0.022,0.015,0.03,-0.016,0.045,0.325,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240105,0.964,0.005,0.006,0,0.005,0.001,0.018,0.011,0.025,-0.013,0.036,0.318,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240139,0.965,0.005,0.005,0,0.004,0.001,0.019,0.01,0.024,-0.014,0.035,0.301,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240173,0.962,0.005,0.005,0,0.004,0.001,0.023,0.01,0.028,-0.018,0.038,0.261,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240206,0.956,0.008,0.005,0,0.005,0.001,0.025,0.013,0.031,-0.018,0.044,0.297,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240240,0.939,0.022,0.008,0,0.005,0.001,0.025,0.029,0.031,-0.002,0.061,0.485,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240273,0.907,0.048,0.013,0.001,0.006,0.002,0.023,0.061,0.032,0.029,0.093,0.657,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240307,0.877,0.073,0.018,0.002,0.006,0.002,0.022,0.09,0.032,0.058,0.123,0.736,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240341,0.872,0.077,0.02,0.002,0.006,0.002,0.02,0.097,0.03,0.067,0.128,0.762,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240374,0.892,0.062,0.019,0.002,0.005,0.002,0.019,0.081,0.027,0.053,0.108,0.747,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240408,0.919,0.04,0.015,0.001,0.004,0.001,0.019,0.055,0.026,0.029,0.081,0.677,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240442,0.93,0.029,0.013,0.001,0.005,0.002,0.021,0.042,0.028,0.014,0.07,0.601,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240475,0.922,0.037,0.013,0.001,0.005,0.002,0.02,0.05,0.029,0.021,0.078,0.635,Disfrute
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240509,0.901,0.061,0.012,0.001,0.004,0.002,0.018,0.073,0.026,0.048,0.099,0.74,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240542,0.866,0.102,0.01,0.001,0.004,0.002,0.015,0.112,0.022,0.091,0.134,0.839,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240576,0.846,0.127,0.009,0.001,0.003,0.002,0.012,0.136,0.017,0.119,0.154,0.888,Agrado
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240610,0.868,0.109,0.009,0.001,0.002,0.001,0.011,0.118,0.014,0.103,0.132,0.893,Agrado
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240643,0.893,0.086,0.008,0.001,0.001,0.001,0.01,0.095,0.012,0.082,0.107,0.886,Disfrute
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240677,0.881,0.102,0.007,0.001,0.001,0.001,0.009,0.109,0.011,0.098,0.119,0.911,Disfrute
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240711,0.841,0.143,0.005,0,0.001,0.001,0.009,0.148,0.011,0.137,0.159,0.932,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240744,0.807,0.175,0.004,0,0.001,0.001,0.01,0.18,0.013,0.167,0.193,0.932,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240778,0.816,0.164,0.004,0,0.002,0.002,0.012,0.168,0.016,0.152,0.184,0.915,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240811,0.864,0.113,0.006,0.001,0.002,0.002,0.012,0.119,0.017,0.102,0.136,0.875,Disfrute
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240845,0.893,0.079,0.008,0.001,0.002,0.002,0.013,0.088,0.019,0.069,0.107,0.824,Agrado
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240879,0.873,0.098,0.009,0.001,0.002,0.003,0.014,0.107,0.02,0.087,0.127,0.841,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240912,0.842,0.131,0.007,0.001,0.002,0.002,0.015,0.138,0.02,0.118,0.158,0.872,Agrado
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240946,0.834,0.135,0.005,0,0.002,0.002,0.021,0.14,0.026,0.114,0.166,0.843,
"11. I would call some acts wrong on the grounds that they are unnatural.",4.33,4.36,4.352,00:04:22.240980,0.833,0.123,0.004,0,0.003,0.002,0.035,0.127,0.04,0.087,0.167,0.761,Agrado
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240030,0.937,0.003,0.01,0.001,0.007,0.004,0.037,0.013,0.05,-0.037,0.063,0.209,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240064,0.939,0.004,0.012,0.001,0.007,0.004,0.034,0.016,0.045,-0.029,0.061,0.261,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240098,0.941,0.005,0.014,0.001,0.006,0.004,0.028,0.02,0.039,-0.019,0.059,0.339,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240131,0.937,0.006,0.017,0.001,0.006,0.005,0.028,0.023,0.04,-0.017,0.063,0.363,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240165,0.927,0.006,0.019,0.001,0.007,0.006,0.033,0.025,0.048,-0.022,0.073,0.347,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240199,0.919,0.006,0.021,0.002,0.008,0.007,0.038,0.027,0.054,-0.027,0.081,0.334,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240232,0.918,0.005,0.022,0.002,0.008,0.007,0.038,0.027,0.055,-0.028,0.082,0.33,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240266,0.92,0.005,0.024,0.001,0.008,0.007,0.035,0.029,0.051,-0.022,0.08,0.361,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240299,0.919,0.007,0.027,0.002,0.007,0.006,0.033,0.034,0.048,-0.014,0.081,0.414,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240333,0.91,0.008,0.025,0.002,0.008,0.006,0.041,0.033,0.057,-0.024,0.09,0.367,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240367,0.893,0.008,0.016,0.001,0.008,0.006,0.068,0.024,0.084,-0.06,0.107,0.223,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240400,0.869,0.009,0.008,0.001,0.008,0.006,0.1,0.017,0.114,-0.097,0.131,0.129,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240434,0.851,0.012,0.004,0,0.007,0.005,0.12,0.016,0.133,-0.116,0.149,0.11,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240467,0.845,0.014,0.005,0.001,0.008,0.006,0.122,0.019,0.136,-0.117,0.155,0.122,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240501,0.859,0.016,0.008,0.001,0.009,0.006,0.101,0.024,0.117,-0.093,0.141,0.171,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240535,0.884,0.02,0.012,0.001,0.008,0.006,0.069,0.032,0.084,-0.052,0.116,0.275,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240568,0.907,0.022,0.012,0.001,0.006,0.005,0.047,0.034,0.059,-0.025,0.093,0.364,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240602,0.925,0.016,0.011,0.001,0.005,0.004,0.038,0.027,0.048,-0.021,0.075,0.361,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240636,0.936,0.01,0.011,0.001,0.005,0.003,0.035,0.021,0.044,-0.023,0.064,0.321,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240669,0.936,0.009,0.012,0.001,0.005,0.004,0.034,0.021,0.043,-0.023,0.064,0.324,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240703,0.931,0.009,0.015,0.001,0.005,0.004,0.034,0.024,0.045,-0.021,0.069,0.35,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240736,0.931,0.009,0.016,0.001,0.006,0.004,0.033,0.025,0.044,-0.019,0.069,0.359,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240770,0.93,0.009,0.016,0.001,0.006,0.004,0.034,0.025,0.046,-0.021,0.07,0.349,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240804,0.922,0.01,0.019,0.002,0.007,0.004,0.038,0.028,0.05,-0.022,0.078,0.358,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240837,0.918,0.01,0.021,0.002,0.007,0.005,0.038,0.031,0.052,-0.021,0.082,0.373,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240871,0.928,0.007,0.019,0.001,0.007,0.004,0.034,0.026,0.046,-0.02,0.072,0.36,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240905,0.939,0.005,0.015,0.001,0.006,0.004,0.03,0.02,0.042,-0.022,0.061,0.322,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240938,0.935,0.006,0.014,0.001,0.007,0.004,0.034,0.02,0.045,-0.025,0.065,0.304,
"12. It can never be right to kill a human being. ",4.39,4.48,4.4,00:04:25.240972,0.925,0.009,0.015,0.001,0.006,0.004,0.04,0.024,0.051,-0.027,0.075,0.322,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240005,0.919,0.011,0.016,0.001,0.006,0.003,0.043,0.027,0.054,-0.027,0.081,0.335,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240039,0.919,0.011,0.016,0.002,0.007,0.003,0.043,0.026,0.054,-0.028,0.081,0.326,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240073,0.922,0.009,0.017,0.002,0.007,0.003,0.041,0.026,0.053,-0.027,0.078,0.328,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240106,0.926,0.008,0.018,0.002,0.007,0.003,0.036,0.026,0.048,-0.021,0.074,0.356,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240140,0.938,0.007,0.017,0.001,0.005,0.003,0.029,0.023,0.039,-0.016,0.062,0.374,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240174,0.951,0.005,0.013,0.001,0.004,0.003,0.024,0.018,0.032,-0.014,0.049,0.36,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240207,0.952,0.005,0.011,0.001,0.004,0.003,0.025,0.016,0.032,-0.016,0.048,0.335,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240241,0.935,0.009,0.011,0.001,0.005,0.003,0.037,0.02,0.046,-0.026,0.065,0.305,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240274,0.9,0.015,0.009,0.001,0.006,0.003,0.066,0.024,0.076,-0.052,0.1,0.241,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240308,0.865,0.018,0.007,0.001,0.006,0.003,0.101,0.024,0.111,-0.087,0.135,0.179,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240342,0.846,0.02,0.005,0.001,0.006,0.003,0.119,0.025,0.129,-0.105,0.154,0.159,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240375,0.847,0.027,0.004,0.001,0.006,0.003,0.113,0.03,0.122,-0.092,0.153,0.199,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240409,0.864,0.035,0.003,0,0.005,0.003,0.089,0.039,0.097,-0.058,0.136,0.287,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240443,0.891,0.038,0.005,0,0.004,0.002,0.061,0.043,0.067,-0.024,0.109,0.389,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240476,0.91,0.032,0.01,0.001,0.004,0.002,0.042,0.041,0.049,-0.008,0.09,0.456,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240510,0.918,0.023,0.016,0.001,0.005,0.003,0.034,0.039,0.043,-0.004,0.082,0.474,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240543,0.926,0.016,0.017,0.001,0.006,0.004,0.03,0.033,0.041,-0.008,0.074,0.448,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240577,0.94,0.009,0.014,0.001,0.007,0.004,0.026,0.022,0.037,-0.015,0.06,0.374,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240611,0.95,0.005,0.011,0.001,0.006,0.003,0.024,0.016,0.034,-0.018,0.05,0.318,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240644,0.949,0.007,0.011,0.001,0.006,0.002,0.024,0.017,0.034,-0.016,0.051,0.341,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240678,0.943,0.008,0.013,0.001,0.006,0.003,0.026,0.021,0.036,-0.015,0.057,0.368,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240711,0.935,0.008,0.016,0.001,0.007,0.004,0.029,0.024,0.041,-0.017,0.065,0.372,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240745,0.931,0.009,0.019,0.001,0.007,0.004,0.03,0.027,0.042,-0.015,0.069,0.395,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240779,0.932,0.009,0.019,0.001,0.006,0.003,0.028,0.029,0.039,-0.01,0.068,0.426,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240812,0.935,0.009,0.018,0.001,0.006,0.003,0.028,0.027,0.038,-0.011,0.065,0.412,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240846,0.932,0.009,0.018,0.001,0.006,0.002,0.031,0.027,0.041,-0.013,0.068,0.401,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240880,0.924,0.012,0.024,0.002,0.007,0.003,0.029,0.036,0.04,-0.005,0.076,0.47,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240913,0.916,0.017,0.03,0.002,0.006,0.003,0.025,0.047,0.037,0.01,0.084,0.56,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240947,0.915,0.02,0.032,0.002,0.006,0.003,0.022,0.052,0.034,0.018,0.085,0.605,
"12. It can never be right to kill a human being. ",4.39,4.48,4.416,00:04:26.240980,0.919,0.023,0.027,0.002,0.006,0.003,0.021,0.05,0.031,0.018,0.081,0.612,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240014,0.921,0.026,0.022,0.002,0.005,0.003,0.021,0.049,0.031,0.018,0.079,0.614,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240048,0.924,0.029,0.019,0.002,0.004,0.002,0.02,0.047,0.028,0.019,0.076,0.625,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240081,0.933,0.028,0.015,0.001,0.003,0.002,0.018,0.043,0.024,0.019,0.067,0.641,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240115,0.943,0.025,0.011,0.001,0.003,0.001,0.016,0.036,0.021,0.016,0.057,0.636,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240148,0.945,0.021,0.011,0.001,0.003,0.002,0.017,0.032,0.023,0.009,0.055,0.58,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240182,0.929,0.021,0.016,0.002,0.006,0.004,0.023,0.037,0.034,0.002,0.071,0.517,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240216,0.901,0.026,0.022,0.003,0.009,0.007,0.032,0.049,0.05,-0.001,0.099,0.493,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240249,0.883,0.035,0.024,0.003,0.01,0.008,0.038,0.059,0.058,0.001,0.117,0.504,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240283,0.879,0.044,0.021,0.003,0.01,0.007,0.037,0.065,0.056,0.009,0.121,0.536,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240317,0.879,0.047,0.019,0.002,0.01,0.007,0.036,0.066,0.056,0.01,0.121,0.543,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240350,0.879,0.046,0.016,0.002,0.01,0.006,0.042,0.062,0.06,0.002,0.121,0.51,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240384,0.867,0.048,0.011,0.001,0.008,0.005,0.06,0.059,0.074,-0.015,0.133,0.444,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240418,0.829,0.048,0.007,0.001,0.009,0.004,0.102,0.055,0.116,-0.06,0.171,0.323,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240451,0.782,0.04,0.004,0.001,0.012,0.005,0.155,0.044,0.173,-0.129,0.218,0.203,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240485,0.77,0.032,0.003,0.001,0.014,0.006,0.174,0.035,0.195,-0.16,0.23,0.153,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240518,0.803,0.033,0.003,0,0.013,0.005,0.144,0.035,0.162,-0.126,0.197,0.179,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240552,0.848,0.033,0.003,0,0.01,0.003,0.103,0.035,0.116,-0.081,0.152,0.232,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240586,0.879,0.027,0.003,0,0.008,0.003,0.08,0.03,0.091,-0.061,0.121,0.25,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240619,0.896,0.023,0.004,0,0.008,0.003,0.066,0.027,0.077,-0.05,0.104,0.261,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240653,0.907,0.021,0.006,0,0.009,0.003,0.053,0.028,0.066,-0.038,0.093,0.296,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240686,0.91,0.021,0.008,0.001,0.011,0.004,0.045,0.029,0.06,-0.031,0.09,0.326,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240720,0.906,0.022,0.011,0.001,0.012,0.006,0.042,0.033,0.062,-0.029,0.094,0.347,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240754,0.894,0.028,0.012,0.001,0.012,0.007,0.044,0.041,0.065,-0.024,0.106,0.388,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240787,0.885,0.036,0.013,0.002,0.011,0.006,0.047,0.049,0.066,-0.017,0.115,0.428,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240821,0.887,0.035,0.014,0.002,0.009,0.005,0.049,0.049,0.064,-0.015,0.113,0.434,Agrado
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240855,0.889,0.035,0.014,0.002,0.008,0.004,0.048,0.049,0.062,-0.013,0.111,0.443,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240888,0.877,0.049,0.014,0.002,0.008,0.004,0.046,0.063,0.06,0.003,0.123,0.511,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240922,0.866,0.063,0.015,0.002,0.008,0.004,0.042,0.078,0.056,0.022,0.134,0.581,
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240955,0.874,0.059,0.016,0.002,0.007,0.005,0.038,0.075,0.052,0.023,0.126,0.592,Agrado
"12. It can never be right to kill a human being. ",4.39,4.48,4.432,00:04:27.240989,0.876,0.052,0.017,0.002,0.007,0.006,0.039,0.069,0.055,0.014,0.124,0.555,
"12. It can never be right to kill a human being. ",4.39,4.48,4.448,00:04:28.240023,0.856,0.063,0.018,0.003,0.008,0.006,0.046,0.081,0.063,0.018,0.144,0.562,
